Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
State_id  ,YEAR  ,Month  ,TMAX (F) 
'437054',1896,7,80.3 
'437054',1896,8,76.2 
'437054',1896,9,65.7 
'437054',1896,10,51.7 
'437054',1896,11,45.1 
'437054',1896,12,24.3 
'437054',1897,1,25.3 
'437054',1897,2,28.8 
'437054',1897,3,36.4 
'437054',1897,4,53.8 
'437054',1897,5,66.2 
'437054',1897,6,71 
'437054',1897,7,80.9 
'437054',1897,8,73.3 
'437054',1897,9,66.8 
'437054',1897,10,58.2 
'437054',1897,11,39.8 
'437054',1897,12,30.3 
'437054',1898,1,22.9 
'437054',1898,2,30.5 
'437054',1898,3,45 
'437054',1898,4,50.9 
'437054',1898,5,64.6 
'437054',1898,6,75.2 
'437054',1898,7,81.4 
'437054',1898,8,76.2 
'437054',1898,9,69.1 
'437054',1898,10,57 
'437054',1898,11,39.9 
'437054',1898,12,31 
'437054',1899,1,25 
'437054',1899,2,24.3 
'437054',1899,3,34 
'437054',1899,4,52.1 
'437054',1899,5,66.4 
'437054',1899,6,77.4 
'437054',1899,7,78.8 
'437054',1899,8,76.6 
'437054',1899,9,65.9 
'437054',1899,10,57 
'437054',1899,11,39.4 
'437054',1899,12,33.8 
'437054',1900,1,28 
'437054',1900,2,26.2 
'437054',1900,3,32.5 
'437054',1900,4,51 
'437054',1900,5,63.3 
'437054',1900,6,77 
'437054',1900,7,78.5 
'437054',1900,8,76.2 
'437054',1900,9,69.2 
'437054',1900,10,61 
'437054',1900,11,42.5 
'437054',1900,12,26 
'437054',1901,1,22.6 
'437054',1901,2,20.7 
'437054',1901,3,36.6 
'437054',1901,4,56.6 
'437054',1901,5,65.8 
'437054',1901,6,76.6 
'437054',1901,7,80 
'437054',1901,8,76.4 
'437054',1901,9,68.9 
'437054',1901,10,56.8 
'437054',1901,11,33.9 
'437054',1901,12,28.3 
'437054',1902,1,22.9 
'437054',1902,2,27.5 
'437054',1902,3,43.1 
'437054',1902,4,51.8 
'437054',1902,5,60.7 
'437054',1902,6,68.4 
'437054',1902,7,75.5 
'437054',1902,8,71.8 
'437054',1902,9,68.6 
'437054',1902,10,52.5 
'437054',1902,11,44.5 
'437054',1902,12,23.8 
'437054',1903,1,23.3 
'437054',1903,2,27.2 
'437054',1903,3,46 
'437054',1903,4,51.6 
'437054',1903,5,71.6 
'437054',1903,6,70.5 
'437054',1903,7,75.2 
'437054',1903,8,69.4 
'437054',1903,9,72.9 
'437054',1903,10,54.8 
'437054',1903,11,37.4 
'437054',1903,12,24.1 
'437054',1904,1,15 
'437054',1904,2,20.1 
'437054',1904,3,34.3 
'437054',1904,4,48.5 
'437054',1904,5,71.4 
'437054',1904,6,76.2 
'437054',1904,7,80.1 
'437054',1904,8,75.7 
'437054',1904,9,65.8 
'437054',1904,10,52.3 
'437054',1904,11,34.4 
'437054',1904,12,19.9 
'437054',1905,1,21 
'437054',1905,2,20.8 
'437054',1905,3,37.7 
'437054',1905,4,49.1 
'437054',1905,5,64.2 
'437054',1905,6,72.2 
'437054',1905,7,78.7 
'437054',1905,8,74.5 
'437054',1905,9,65.9 
'437054',1905,10,56.1 
'437054',1905,11,38.6 
'437054',1905,12,31.4 
'437054',1906,1,32.5 
'437054',1906,2,28.6 
'437054',1906,3,31.9 
'437054',1906,4,50.7 
'437054',1906,5,64.2 
'437054',1906,6,74.9 
'437054',1906,7,80.2 
'437054',1906,8,80.2 
'437054',1906,9,70.6 
'437054',1906,10,57.8 
'437054',1906,11,37.1 
'437054',1906,12,23.7 
'437054',1907,1,22.8 
'437054',1907,2,18.4 
'437054',1907,3,35.9 
'437054',1907,4,47.3 
'437054',1907,5,57.3 
'437054',1907,6,74.4 
'437054',1907,7,78 
'437054',1907,8,73.7 
'437054',1907,9,65.2 
'437054',1907,10,50.2 
'437054',1907,11,39.8 
'437054',1907,12,30.1 
'437054',1908,1,27.8 
'437054',1908,2,23.8 
'437054',1908,3,37.4 
'437054',1908,4,46.4 
'437054',1908,5,68.5 
'437054',1908,6,78 
'437054',1908,7,83.7 
'437054',1908,8,74.4 
'437054',1908,9,74.8 
'437054',1908,10,60 
'437054',1908,11,39.4 
'437054',1908,12,25.7 
'437054',1909,1,25.3 
'437054',1909,2,28.4 
'437054',1909,3,36.5 
'437054',1909,4,52.1 
'437054',1909,5,64.5 
'437054',1909,6,79.4 
'437054',1909,7,81.6 
'437054',1909,8,78.9 
'437054',1909,9,70.8 
'437054',1909,10,54.8 
'437054',1909,11,44.4 
'437054',1909,12,24.9 
'437054',1910,1,26.5 
'437054',1910,2,27.8 
'437054',1910,3,47.4 
'437054',1910,4,61 
'437054',1910,5,63.1 
'437054',1910,6,71.1 
'437054',1910,7,80.5 
'437054',1910,8,74.4 
'437054',1910,9,66.3 
'437054',1910,10,55.6 
'437054',1910,11,36.7 
'437054',1910,12,21.5 
'437054',1911,1,27.5 
'437054',1911,2,22.7 
'437054',1911,3,35.4 
'437054',1911,4,49.4 
'437054',1911,5,74.9 
'437054',1911,6,72.8 
'437054',1911,7,83.5 
'437054',1911,8,76.5 
'437054',1911,9,66.4 
'437054',1911,10,54 
'437054',1911,11,38.1 
'437054',1911,12,31.5 
'437054',1912,1,15.4 
'437054',1912,2,25.9 
'437054',1912,3,35.7 
'437054',1912,4,55.4 
'437054',1912,5,67 
'437054',1912,6,76.1 
'437054',1912,7,80.8 
'437054',1912,8,71.2 
'437054',1912,9,65.8 
'437054',1912,10,58.9 
'437054',1912,11,42 
'437054',1912,12,34.3 
'437054',1913,1,35 
'437054',1913,2,25.1 
'437054',1913,3,44.3 
'437054',1913,4,55 
'437054',1913,5,62.7 
'437054',1913,6,76.7 
'437054',1913,7,80.5 
'437054',1913,8,77.1 
'437054',1913,9,68.6 
'437054',1913,10,58.7 
'437054',1913,11,44.7 
'437054',1913,12,31.1 
'437054',1914,1,23.5 
'437054',1914,2,21.5 
'437054',1914,3,36.8 
'437054',1914,4,47.2 
'437054',1914,5,68.7 
'437054',1914,6,73.2 
'437054',1914,7,79.3 
'437054',1914,8,76 
'437054',1914,9,69.1 
'437054',1914,10,60.2 
'437054',1914,11,39.5 
'437054',1914,12,27.6 
'437054',1915,1,29 
'437054',1915,2,31 
'437054',1915,3,33.8 
'437054',1915,4,59.1 
'437054',1915,5,61.7 
'437054',1915,6,75.1 
'437054',1915,7,78.3 
'437054',1915,8,74.5 
'437054',1915,9,71.9 
'437054',1915,10,57.6 
'437054',1915,11,43.7 
'437054',1915,12,28.3 
'437054',1916,1,31.2 
'437054',1916,2,26 
'437054',1916,3,33.6 
'437054',1916,4,54.4 
'437054',1916,5,64.7 
'437054',1916,6,70.7 
'437054',1916,7,82.9 
'437054',1916,8,81.2 
'437054',1916,9,69.2 
'437054',1916,10,59.8 
'437054',1916,11,38.5 
'437054',1916,12,25.6 
'437054',1917,1,24.1 
'437054',1917,2,23 
'437054',1917,3,37.1 
'437054',1917,4,46.2 
'437054',1917,5,54.4 
'437054',1917,6,73.4 
'437054',1917,7,81.4 
'437054',1917,8,77.9 
'437054',1917,9,68.4 
'437054',1917,10,51.3 
'437054',1917,11,35.9 
'437054',1917,12,17.6 
'437054',1918,1,15.8 
'437054',1918,2,23.4 
'437054',1918,3,39.1 
'437054',1918,4,55.8 
'437054',1918,5,71.3 
'437054',1918,6,71.9 
'437054',1918,7,82.4 
'437054',1918,8,79.5 
'437054',1918,9,63.6 
'437054',1918,10,57.3 
'437054',1918,11,41 
'437054',1918,12,30.5 
'437054',1919,1,27.1 
'437054',1919,2,28.9 
'437054',1919,3,40.9 
'437054',1919,4,51 
'437054',1919,5,65.2 
'437054',1919,6,81.6 
'437054',1919,7,82.9 
'437054',1919,8,74.6 
'437054',1919,9,69 
'437054',1919,10,56.3 
'437054',1919,11,39.3 
'437054',1919,12,23.7 
'437054',1920,1,16.1 
'437054',1920,2,25.8 
'437054',1920,3,41.1 
'437054',1920,4,47.2 
'437054',1920,5,65.4 
'437054',1920,6,75.8 
'437054',1920,7,77.4 
'437054',1920,8,80.2 
'437054',1920,9,70.8 
'437054',1920,10,63.2 
'437054',1920,11,36.5 
'437054',1920,12,28.4 
'437054',1921,1,27.5 
'437054',1921,2,30.6 
'437054',1921,3,46.4 
'437054',1921,4,61.1 
'437054',1921,5,70.8 
'437054',1921,6,76.9 
'437054',1921,7,86.4 
'437054',1921,8,76.7 
'437054',1921,9,72.8 
'437054',1921,10,58.3 
'437054',1921,11,35.6 
'437054',1921,12,25.9 
'437054',1922,1,23.4 
'437054',1922,2,27.8 
'437054',1922,3,39.5 
'437054',1922,4,52.9 
'437054',1922,5,69.7 
'437054',1922,6,74.4 
'437054',1922,7,80.5 
'437054',1922,8,76.9 
'437054',1922,9,71.7 
'437054',1922,10,54.3 
'437054',1922,11,40.2 
'437054',1922,12,26.5 
'437054',1923,1,20 
'437054',1923,2,20.9 
'437054',1923,3,34.4 
'437054',1923,4,49.5 
'437054',1923,5,64.5 
'437054',1923,6,76.9 
'437054',1923,7,78.2 
'437054',1923,8,74.2 
'437054',1923,9,69.3 
'437054',1923,10,58.2 
'437054',1923,11,43.1 
'437054',1923,12,34.1 
'437054',1924,1,26.9 
'437054',1924,2,22.1 
'437054',1924,3,36.5 
'437054',1924,4,48.5 
'437054',1924,5,60 
'437054',1924,6,72.8 
'437054',1924,7,80.1 
'437054',1924,8,76.4 
'437054',1924,9,65.6 
'437054',1924,10,58.3 
'437054',1924,11,43.4 
'437054',1924,12,24.2 
'437054',1925,1,19.8 
'437054',1925,2,33.6 
'437054',1925,3,42.8 
'437054',1925,4,54.5 
